business_name,creative_id,name,spend,purchases,roas,fatigue_status,target_roas,marcus_label,lin_label,aria_label,ai_rubric_label,consensus_label,agreement_count,has_disagreement
TheSwaf,creative_8qhjj,EmB - Catalog Ad,7422.19,53,1.33,none,2.2,keep,keep,cut,cut,no_consensus,2,true
TheSwaf,creative_2dptrn,Advantage+ catalog,2122.32,21,2.44,none,2.2,scale,keep,scale,keep,no_consensus,2,true
IwaStore,creative_gav4ek,WoodenWallArtCatalog,1651.36,57,5.3,fatigued,3.5,refresh,scale,refresh,scale,no_consensus,2,true
TheSwaf,creative_ylpchy,aphrodite,1193.43,10,1.63,watch,2.2,keep,test_more,refresh,keep,no_consensus,2,true
IwaStore,creative_kgfoui,A misbaha,838.24,19,3.51,none,3.5,scale,keep,scale,keep,no_consensus,2,true
IwaStore,creative_7o6ry1,Transforming a house,830.76,25,9.52,none,3.5,scale,keep,keep,scale,no_consensus,2,true
TheSwaf,creative_uf55lo,AllRings,564,4,1.19,none,2.2,cut,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_zri7ic,Every beautiful,478.65,8,2.31,none,3.5,keep,test_more,keep,test_more,no_consensus,2,true
TheSwaf,creative_zgt8em,restraintrevise,467.34,6,4.14,watch,2.2,scale,test_more,scale,keep,no_consensus,2,true
TheSwaf,creative_1ckebyd,EMB - AllRings,459.83,3,1.12,watch,2.2,cut,test_more,refresh,test_more,no_consensus,2,true
IwaStore,creative_1qxpvdx,decorista_93,434.36,19,7.85,watch,3.5,scale,keep,refresh,scale,no_consensus,2,true
IwaStore,creative_tah2d0,New 2026 Collection,433.73,13,3.27,watch,3.5,keep,test_more,cut,test_more,no_consensus,2,true
TheSwaf,creative_8a8qqj,ancientegypt,377.85,2,0.64,none,2.2,cut,test_more,cut,test_more,no_consensus,2,true
TheSwaf,creative_1w229oq,begintodeath,347.9,2,2.26,none,2.2,keep,test_more,scale,test_more,no_consensus,2,true
TheSwaf,creative_5r9ggv,angelNdevill,341.02,2,1.1,none,2.2,cut,test_more,cut,test_more,no_consensus,2,true
TheSwaf,creative_1lk4izw,death,328.7,3,1.58,watch,2.2,keep,test_more,refresh,test_more,no_consensus,2,true
TheSwaf,creative_2jh4dm,faith,324.83,1,0.38,none,2.2,cut,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_1fn7p9h,A prayer niche,274.95,7,3.93,none,3.5,scale,test_more,keep,keep,no_consensus,2,true
TheSwaf,creative_1c77me5,risklooksbetter,186.57,0,0,none,2.2,keep,test_more,cut,test_more,no_consensus,2,true
TheSwaf,creative_j0f9os,ReligiousNecklaceFlex,181.54,0,0,none,2.2,keep,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_nizzxl,لا للمحراب في البيوت!!,168.35,0,0,none,3.5,keep,test_more,cut,test_more,no_consensus,2,true
TheSwaf,creative_15qkuwr,legacyrevise,154.4,1,1.23,none,2.2,keep,test_more,keep,test_more,no_consensus,2,true
IwaStore,creative_mvouqb,The heart finds,145.02,2,2.11,fatigued,3.5,refresh,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_1jkih46,nina_deko_germany,129.43,3,3,watch,3.5,keep,test_more,refresh,test_more,no_consensus,2,true
IwaStore,creative_lusk5,Cherish every,111.02,3,4.9,fatigued,3.5,refresh,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_oh3fxx,PrayerEssentialsCatalog,88.79,0,0,fatigued,3.5,refresh,test_more,cut,test_more,no_consensus,2,true
IwaStore,creative_mkkyju,Glowing lanterns,63.99,1,7.99,fatigued,3.5,refresh,test_more,scale,test_more,no_consensus,2,true
IwaStore,creative_1x0u7yl,Beautiful gatherings,25.12,2,6.22,fatigued,3.5,refresh,test_more,refresh,test_more,no_consensus,2,true
TheSwaf,creative_1emvy5x,EMB - CatalogAd,12338.65,84,1.31,none,2.2,cut,keep,cut,cut,cut,3,true
IwaStore,creative_bzfqye,WallArtCatalog,2310.73,46,3.19,watch,3.5,keep,keep,refresh,keep,keep,3,true
TheSwaf,creative_23qk12,Advantage+ catalog ad,1612.71,13,1.65,fatigued,2.2,refresh,keep,refresh,refresh,refresh,3,true
IwaStore,creative_11qthjh,Catalog New Collection,1553.19,36,3.79,fatigued,3.5,refresh,keep,refresh,refresh,refresh,3,true
TheSwaf,creative_1ikfu77,protection,1361.73,9,1.68,none,2.2,keep,test_more,keep,keep,keep,3,true
TheSwaf,creative_14uk7cw,fatal,944.37,7,1.67,none,2.2,keep,test_more,keep,keep,keep,3,true
TheSwaf,creative_hltcj,depth,587.18,2,0.63,none,2.2,cut,test_more,cut,cut,cut,3,true
TheSwaf,creative_7det4q,biterevise,525.23,8,4.01,watch,2.2,scale,test_more,scale,scale,scale,3,true
IwaStore,creative_15m2a6d,Since I hung,373.21,6,2.3,fatigued,3.5,refresh,test_more,refresh,refresh,refresh,3,true
IwaStore,creative_1cm23eg,julia_julia386,279.67,0,0,none,3.5,cut,test_more,cut,cut,cut,3,true
TheSwaf,creative_ytzmrs,watchthat,226.26,0,0,none,2.2,cut,test_more,cut,cut,cut,3,true
IwaStore,creative_1nu7pbr,Our hearts are,140.03,0,0,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_1cr1zc9,EMB - TargeryenFlex,119.1,0,0,none,2.2,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_v6rxpx,bestseller,116.72,2,2.71,none,2.2,test_more,test_more,keep,test_more,test_more,3,true
TheSwaf,creative_1qql2ue,TargeryenFlex,105.97,1,1.95,none,2.2,test_more,test_more,keep,test_more,test_more,3,true
TheSwaf,creative_14mo3mu,ring,100.84,1,2.61,watch,2.2,test_more,test_more,scale,test_more,test_more,3,true
IwaStore,creative_tzeupz,A stunning Islamic,100.83,1,0.72,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
IwaStore,creative_6yakbd,Set up my,97.6,0,0,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_1uqd6gf,evolution,93.66,0,0,none,2.2,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_yqjwhk,MedusaFlex,70.89,0,0,none,2.2,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_1vyej00,EMB - ReligiousNecklace,61.21,1,3.28,none,2.2,test_more,test_more,keep,test_more,test_more,3,true
IwaStore,creative_164v2ds,More than,58.32,0,0,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_426qx5,EMB - Mix,57.46,0,0,none,2.2,test_more,test_more,cut,test_more,test_more,3,true
TheSwaf,creative_1drk18s,bestsellerringsgothic,56.7,1,2.7,none,2.2,test_more,test_more,scale,test_more,test_more,3,true
TheSwaf,creative_jc56ov,Tastemythrevise,47.95,0,0,none,2.2,test_more,test_more,cut,test_more,test_more,3,true
IwaStore,creative_1uqggii,It added meaning,46.82,0,0,none,3.5,test_more,test_more,cut,test_more,test_more,3,true
IwaStore,creative_1gkgji3,Iconic beauty,39.07,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_nheqjy,Mix,38.68,1,4,none,2.2,test_more,test_more,scale,test_more,test_more,3,true
IwaStore,creative_1m3nv5p,A solid foundation,33.8,1,3.06,none,3.5,test_more,test_more,keep,test_more,test_more,3,true
IwaStore,creative_ruy649,Decorating the,30.45,0,0,none,3.5,test_more,test_more,diagnose,test_more,test_more,3,true
TheSwaf,creative_1ykaj7n,softness,30.25,0,0,none,2.2,test_more,test_more,diagnose,test_more,test_more,3,true
