business_name,creative_id,creative_name,spend,purchases,roas,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v2_primary_decision,v2_actionability,v2_confidence,v2_problem_class,v2_risk_level,v21_buyer_action,v21_priority,v21_confidence_band,v21_problem_class,campaign_id,meta_campaign_action,meta_campaign_role,meta_campaign_confidence
TheSwaf,creative_1emvy5x,EMB - CatalogAd,12338.65,84,1.31,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_8qhjj,EmB - Catalog Ad,7422.19,53,1.33,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_2dptrn,Advantage+ catalog,2122.32,21,2.44,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_2chqoy,wearthefearrevise,1950.29,9,0.95,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_23qk12,Advantage+ catalog ad,1612.71,13,1.65,refresh_replace,fatigued_winner,pause,Diagnose,diagnose,67,data-quality,medium,diagnose_data,medium,medium,campaign_context,120244054243050042,pause,Prospecting Validation,0.74
TheSwaf,creative_1d99qi7,aura,1531.33,16,2.07,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_1ikfu77,protection,1361.73,9,1.68,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_ylpchy,aphrodite,1193.43,10,1.63,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_14uk7cw,fatal,944.37,7,1.67,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_hltcj,depth,587.18,2,0.63,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,low,low,data_quality,,,,
TheSwaf,creative_uf55lo,AllRings,564,4,1.19,keep_in_test,validating,test_more,Diagnose,diagnose,58,data-quality,medium,diagnose_data,medium,medium,campaign_context,,,,
TheSwaf,creative_7det4q,biterevise,525.23,8,4.01,hold_no_touch,stable_winner,watch,Diagnose,diagnose,67,data-quality,medium,diagnose_data,low,low,data_quality,,,,
