creative_id,business_name,name,spend,purchases,roas,fatigue_status,age_days,target_roas,my_label,my_reason
creative_bzfqye,IwaStore,WallArtCatalog,2310.73,46,3.19,watch,31,3.5,keep,"ROAS 3.19 below target (91%) but in working zone — monitor, no aggressive move"
creative_gav4ek,IwaStore,WoodenWallArtCatalog,1651.36,57,5.3,fatigued,31,3.5,scale,ROAS 5.30 = 151% of target 3.5 with 57 buys — scale
creative_11qthjh,IwaStore,Catalog New Collection,1553.19,36,3.79,fatigued,31,3.5,refresh,"Fatigued winner (ROAS 3.79, 108% of target) — iterate / new variant"
creative_kgfoui,IwaStore,A misbaha,838.24,19,3.51,none,31,3.5,keep,"ROAS 3.51 at/above target 3.5 — stable, let it ride"
creative_7o6ry1,IwaStore,Transforming a house,830.76,25,9.52,none,31,3.5,scale,ROAS 9.52 = 272% of target 3.5 with 25 buys — scale
creative_zri7ic,IwaStore,Every beautiful,478.65,8,2.31,none,31,3.5,test_more,"Thin data (spend=$479, purchases=8, ROAS 2.31) — accumulate"
creative_1qxpvdx,IwaStore,decorista_93,434.36,19,7.85,watch,31,3.5,scale,ROAS 7.85 = 224% of target with 19 buys despite $434 — early scale candidate
creative_tah2d0,IwaStore,New 2026 Collection,433.73,13,3.27,watch,31,3.5,test_more,"Thin data (spend=$434, purchases=13, ROAS 3.27) — accumulate"
creative_15m2a6d,IwaStore,Since I hung,373.21,6,2.3,fatigued,31,3.5,refresh,Fatigued + below target (66%) — replace with fresh iteration
creative_1cm23eg,IwaStore,julia_julia386,279.67,0,0,none,31,3.5,cut,"0 purchases on $280 — sustained zero-conv burn, kill"
creative_1fn7p9h,IwaStore,A prayer niche,274.95,7,3.93,none,31,3.5,keep,"ROAS 3.93 at/above target 3.5 — stable, let it ride"
creative_nizzxl,IwaStore,لا للمحراب في البيوت!!,168.35,0,0,none,31,3.5,test_more,"Thin data (spend=$168, purchases=0, ROAS 0.00) — accumulate"
creative_mvouqb,IwaStore,The heart finds,145.02,2,2.11,fatigued,31,3.5,test_more,"Thin data (spend=$145, purchases=2, ROAS 2.11) — accumulate"
creative_1nu7pbr,IwaStore,Our hearts are,140.03,0,0,none,31,3.5,test_more,"Thin data (spend=$140, purchases=0, ROAS 0.00) — accumulate"
creative_1jkih46,IwaStore,nina_deko_germany,129.43,3,3,watch,31,3.5,test_more,"Thin data (spend=$129, purchases=3, ROAS 3.00) — accumulate"
creative_lusk5,IwaStore,Cherish every,111.02,3,4.9,fatigued,31,3.5,test_more,"Thin data (spend=$111, purchases=3, ROAS 4.90) — accumulate"
creative_tzeupz,IwaStore,A stunning Islamic,100.83,1,0.72,none,31,3.5,test_more,"Thin data (spend=$101, purchases=1, ROAS 0.72) — accumulate"
creative_6yakbd,IwaStore,Set up my,97.6,0,0,none,31,3.5,test_more,"Thin data (spend=$98, purchases=0, ROAS 0.00) — accumulate"
creative_oh3fxx,IwaStore,PrayerEssentialsCatalog,88.79,0,0,fatigued,31,3.5,test_more,"Thin data (spend=$89, purchases=0, ROAS 0.00) — accumulate"
creative_mkkyju,IwaStore,Glowing lanterns,63.99,1,7.99,fatigued,31,3.5,test_more,"Thin data (spend=$64, purchases=1, ROAS 7.99) — accumulate"
creative_164v2ds,IwaStore,More than,58.32,0,0,none,31,3.5,test_more,"Thin data (spend=$58, purchases=0, ROAS 0.00) — accumulate"
creative_1uqggii,IwaStore,It added meaning,46.82,0,0,none,31,3.5,test_more,"Thin data (spend=$47, purchases=0, ROAS 0.00) — accumulate"
creative_1gkgji3,IwaStore,Iconic beauty,39.07,0,0,none,31,3.5,test_more,"Thin data (spend=$39, purchases=0, ROAS 0.00) — accumulate"
creative_1m3nv5p,IwaStore,A solid foundation,33.8,1,3.06,none,31,3.5,test_more,"Thin data (spend=$34, purchases=1, ROAS 3.06) — accumulate"
creative_ruy649,IwaStore,Decorating the,30.45,0,0,none,31,3.5,test_more,"Thin data (spend=$30, purchases=0, ROAS 0.00) — accumulate"
creative_r14rly,IwaStore,modern.cave,27.32,0,0,none,31,3.5,test_more,"Thin data (spend=$27, purchases=0, ROAS 0.00) — accumulate"
creative_bxvoy6,IwaStore,mum2boys_style,26.46,0,0,none,31,3.5,test_more,"Thin data (spend=$26, purchases=0, ROAS 0.00) — accumulate"
creative_1x0u7yl,IwaStore,Beautiful gatherings,25.12,2,6.22,fatigued,31,3.5,test_more,"Thin data (spend=$25, purchases=2, ROAS 6.22) — accumulate"
creative_rzsa59,IwaStore,Gift a sanctuary,20.28,0,0,none,31,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate"
creative_1bnj7cl,IwaStore,Timeless Crescent,20.18,0,0,none,31,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate"
creative_z0iv9g,IwaStore,A journey toward,20.04,0,0,none,31,3.5,test_more,"Thin data (spend=$20, purchases=0, ROAS 0.00) — accumulate"
creative_6ip33q,IwaStore,Loved styling,13.55,1,34.38,none,31,3.5,test_more,"Thin data (spend=$14, purchases=1, ROAS 34.38) — accumulate"
creative_16vnta7,IwaStore,A soulful gift,13.25,0,0,none,31,3.5,test_more,"Thin data (spend=$13, purchases=0, ROAS 0.00) — accumulate"
creative_kidoxv,IwaStore,It became the favorite,3.09,0,0,none,31,3.5,test_more,"Thin data (spend=$3, purchases=0, ROAS 0.00) — accumulate"
creative_8jo0k8,IwaStore,Start with,2.43,0,0,none,31,3.5,test_more,"Thin data (spend=$2, purchases=0, ROAS 0.00) — accumulate"
creative_v5fbmo,IwaStore,Joyful prep,0.15,0,0,none,31,3.5,test_more,"Thin data (spend=$0, purchases=0, ROAS 0.00) — accumulate"
creative_1emvy5x,TheSwaf,EMB - CatalogAd,12338.65,84,1.31,none,30,2.2,cut,"ROAS 1.31 = 60% of target after $12339 — clear loser at scale, cut"
creative_8qhjj,TheSwaf,EmB - Catalog Ad,7422.19,53,1.33,none,30,2.2,cut,"ROAS 1.33 = 60% of target after $7422 — clear loser at scale, cut"
