creative_id,business,creative_name,bucket,my_label,my_reason
1370381998117941,TheSwaf,Advantage+ catalog ad,closed_30d,refresh,"Fatigue is watch with CTR 4.12%, frequency 1.25, and ROAS 1.92 at 0.87x of the 2.20 target on $31,943; refresh the aging asset."
1347969233807910,TheSwaf,EMB - CatalogAd,active,cut,"insufficient signal is the weak stage, with ROAS 1.37 at 0.62x of the 2.20 target, CTR 5.10%, and 73 purchases on $9,963; cut the creative drag."
1521071976374724,TheSwaf,EmB - Catalog Ad,active,cut,"insufficient signal is the weak stage, with ROAS 1.31 at 0.60x of the 2.20 target, CTR 3.87%, and 61 purchases on $8,824; cut the creative drag."
736272486128828,TheSwaf,AllRings,closed_30d,keep,"ROAS 1.62 is 0.74x of the 2.20 target with CTR 4.54% and frequency 1.27; no hard creative-health trigger, keep."
1851364679152359,TheSwaf,AllRings,closed_30d,keep,"ROAS 2.10 is 0.95x of the 2.20 target with CTR missing and frequency missing; no hard creative-health trigger, keep."
2804457086560981,TheSwaf,wearthefearrevise,active,cut,"upper funnel is the weak stage, with ROAS 0.89 at 0.40x of the 2.20 target, CTR 5.26%, and 10 purchases on $2,241; cut the creative drag."
1960236391551172,TheSwaf,aura,active,refresh,"This is a tiring winner: ROAS 1.92 trails peak 6.90 from 23 days ago, fatigue is none, CTR is 3.83%, and frequency is 1.16; refresh."
967749279083373,TheSwaf,protection,active,refresh,"This is a tiring winner: ROAS 2.02 trails peak 7.24 from 16 days ago, fatigue is none, CTR is 3.91%, and frequency is 1.19; refresh."
951995590658338,TheSwaf,aphrodite,active,scale,"Attention is strong: ROAS 1.79 is 0.81x of the 2.20 target with CTR 3.52% and thumbstop 0.64% on $1,439 28d spend; scale the creative signal."
1561834608247242,TheSwaf,fatal,active,cut,"none is the weak stage, with ROAS 1.34 at 0.61x of the 2.20 target, CTR 3.69%, and 7 purchases on $1,180; cut the creative drag."
3357963294352238,TheSwaf,ReligiousNecklaceFlex,closed_30d,cut,"insufficient signal is the weak stage, with ROAS 0.48 at 0.22x of the 2.20 target, CTR 6.21%, and 2 purchases on $767; cut the creative drag."
841424642307232,TheSwaf,EMB - CatalogAd,active,cut,"insufficient signal is the weak stage, with ROAS 0.58 at 0.26x of the 2.20 target, CTR 4.00%, and 2 purchases on $620; cut the creative drag."
941030035300398,TheSwaf,biterevise,active,scale,Attention is strong: ROAS 3.55 is 1.62x of the 2.20 target with CTR 3.49% and thumbstop 0.63% on $593 28d spend; scale the creative signal.
2731945777166108,TheSwaf,depth,closed_30d,cut,"upper funnel is the weak stage, with ROAS 0.63 at 0.29x of the 2.20 target, CTR 3.95%, and 2 purchases on $587; cut the creative drag."
1250889117025589,TheSwaf,restraintrevise,active,scale,Attention is strong: ROAS 4.18 is 1.90x of the 2.20 target with CTR 4.27% and thumbstop 0.52% on $504 28d spend; scale the creative signal.
1344068397554957,TheSwaf,EMB - AllRings,active,refresh,"This is a tiring winner: ROAS 1.45 trails peak 4.26 from 13 days ago, fatigue is none, CTR is 3.36%, and frequency is 1.33; refresh."
