creative_id,business,creative_name,bucket,my_label,my_reason
1370381998117941,TheSwaf,Advantage+ catalog ad,closed_30d,refresh,"Closed past peak (insufficient_history, fatigue=watch), $31943 lifetime ROAS 1.92 (0.87× target) — concept iyiydi, fresh angle ile yeniden test."
1347969233807910,TheSwaf,EMB - CatalogAd,active,cut,"$9963 olgun + ROAS 1.37 (0.62× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
1521071976374724,TheSwaf,EmB - Catalog Ad,active,cut,"$8824 28g (≥1.5× mature) + ROAS 1.31 (0.60× target) + 7g toparlanma yok — olgun kayıp, kes."
736272486128828,TheSwaf,AllRings,closed_30d,cut,"Closed: $2589 + ROAS 1.62 (0.74× target) — olgun ve hedef altı, retro-cut onaylı."
1851364679152359,TheSwaf,AllRings,closed_30d,diagnose,"Closed: ROAS 2.10 (0.95× hedefin altında ama yakın), $2319 — kapanma kararı tartışmalı, daha çok süre verilebilirdi."
2804457086560981,TheSwaf,wearthefearrevise,active,cut,"$2241 28g (≥1.5× mature) + ROAS 0.89 (0.40× target) + 7g toparlanma yok — olgun kayıp, kes."
1960236391551172,TheSwaf,aura,active,keep,"$1763 olgun + ROAS 1.92 (0.87× target) — hedef civarı stabil, dramatik tetik yok."
967749279083373,TheSwaf,protection,active,keep,"$1596 olgun + ROAS 2.02 (0.92× target) — hedef civarı stabil, dramatik tetik yok."
951995590658338,TheSwaf,aphrodite,active,keep,"$1439 olgun + ROAS 1.79 (0.81× target) — hedef civarı stabil, dramatik tetik yok."
1561834608247242,TheSwaf,fatal,active,cut,"$1180 olgun + ROAS 1.34 (0.61× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
3357963294352238,TheSwaf,ReligiousNecklaceFlex,closed_30d,cut,"Closed: $767 lifetime + ROAS 0.48 (0.22× target) — olgun kayıp, doğru kapatma."
841424642307232,TheSwaf,EMB - CatalogAd,active,test_more,"$620 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
941030035300398,TheSwaf,biterevise,active,keep,"28g winner: $593 + 8 sipariş + ROAS 3.55 (1.62× target), ama 7g zayıflık (spend $71 ROAS 0.00) — scale öncesi bir hafta daha izle."
2731945777166108,TheSwaf,depth,closed_30d,cut,"Closed: $587 lifetime + ROAS 0.63 (0.29× target) — olgun kayıp, doğru kapatma."
1250889117025589,TheSwaf,restraintrevise,active,scale,"$504 olgun + 7 sipariş + 28g ROAS 4.18 (1.90× target) + 7g 3.90 (1.77×), fatigue=watch — winner, scale."
1344068397554957,TheSwaf,EMB - AllRings,active,cut,"$498 olgun + ROAS 1.45 (0.66× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
930269923096296,TheSwaf,begintodeath,active,test_more,"$390 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
1383902269751310,TheSwaf,TargeryenFlex,closed_30d,cut,"Closed: $397 lifetime + ROAS 0.46 (0.21× target) — olgun kayıp, doğru kapatma."
1425547512680542,TheSwaf,ancientegypt,closed_30d,cut,"Closed: $378 lifetime + ROAS 0.64 (0.29× target) — olgun kayıp, doğru kapatma."
974060018521285,TheSwaf,death,active,cut,"$371 olgun + ROAS 1.40 (0.64× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
1142325247324026,TheSwaf,TargeryenFlex,closed_30d,cut,"Closed: $350 + ROAS 2.22 (1.01× target) — olgun ve hedef altı, retro-cut onaylı."
2195229177681668,TheSwaf,angelNdevill,active,test_more,"$341 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
935580372698767,TheSwaf,faith,closed_30d,cut,"Closed: $325 lifetime + ROAS 0.38 (0.17× target) — olgun kayıp, doğru kapatma."
1133995451493304,TheSwaf,MedusaFlex,closed_30d,cut,"Closed: $305 + ROAS 1.69 (0.77× target) — olgun ve hedef altı, retro-cut onaylı."
1474105167195606,TheSwaf,Mix,closed_30d,diagnose,"Closed: ROAS 2.49 (1.13× target) + 5 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
2413832812481192,TheSwaf,watchthat,closed_30d,cut,"Closed: $226 + ROAS 0.00 (0.00× target) — olgun ve hedef altı, retro-cut onaylı."
2908323869499405,TheSwaf,risklooksbetter,closed_30d,diagnose,"Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
1484306833294778,TheSwaf,EMB - TargeryenFlex,active,test_more,"$148 28g + 1 sipariş — purchase sample çok küçük, sinyal güvenilmez."
1476506453853715,TheSwaf,legacyrevise,closed_30d,cut,"Closed: $154 + ROAS 1.23 (0.56× target) — olgun ve hedef altı, retro-cut onaylı."
1879695362688413,TheSwaf,bestseller,active,test_more,"$122 28g + 2 sipariş — purchase sample çok küçük, sinyal güvenilmez."
1761002005018656,TheSwaf,ring,active,test_more,"$113 28g + 1 sipariş — purchase sample çok küçük, sinyal güvenilmez."
1283690053078235,TheSwaf,Mix,closed_30d,test_more,"Closed: sadece $114 test edildi (3×CPA eşiği $281) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
1655126075507081,TheSwaf,evolution,active,diagnose,"Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
967102445774372,TheSwaf,EMB - Mix,active,test_more,"$67 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
882777081456596,TheSwaf,bestsellerringsgothic,active,test_more,"$57 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
1417424656739964,TheSwaf,Tastemythrevise,active,test_more,"$48 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
1945472502724074,TheSwaf,EMB - ReligiousNecklace,active,test_more,"$33 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
1229430125634078,TheSwaf,bestsellersnecklace,active,test_more,"$32 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
4547154848899014,TheSwaf,softness,active,test_more,"$30 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
2467451360428576,TheSwaf,EMB - AllRings,active,test_more,"$13 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
1444968763982893,TheSwaf,EMB - TargeryenFlex,closed_30d,diagnose,"Tracking anomaly score 1.00 — sayım/attribution güvenilir değil, karar öncesi pixel + commercial truth kontrol şart."
1624871925951037,TheSwaf,whispersfromthedevil,active,test_more,"$11 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
1310237954326358,TheSwaf,alphawolfnecklace,closed_30d,test_more,"Closed: sadece $10 test edildi (3×CPA eşiği $281) — olgunlaşmadan kapatıldı, daha test edilmeliydi."
1508640670664791,TheSwaf,EMB - Mix,active,test_more,"$5 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
3208178412688054,TheSwaf,EMB - Mix,active,test_more,"$4 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
840261811685973,TheSwaf,EMB - ReligiousNecklace,active,test_more,"$2 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
2239437839796106,TheSwaf,EMB - TargeryenFlex,active,test_more,"$1 28g harcama (3×CPA eşiği $281'ın altında) — sample henüz yeterli değil, devam ettir izle."
2240450456794543,IwaStore,Catalog New Collection,active,keep,"$1842 olgun + ROAS 3.43 (0.98× target) — hedef civarı stabil, dramatik tetik yok."
2729900394016654,IwaStore,WallArtCatalog,closed_30d,diagnose,"Closed: ROAS 4.55 (1.30× target) + 49 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
1976762379605003,IwaStore,WallArtCatalog,active,cut,"$1028 olgun + ROAS 2.60 (0.74× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
917280764555370,IwaStore,WoodenWallArtCatalog,closed_30d,diagnose,"Closed: ROAS 6.48 (1.85× target) + 39 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
1610875453601663,IwaStore,A misbaha,closed_30d,diagnose,"Closed: ROAS 4.05 (1.16× target) + 22 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
712308491893470,IwaStore,julia_julia386,closed_30d,diagnose,"$280 28g harcama + 167.21% CTR ama 0 sipariş — clicks geliyor ama dönüş yok. Tracking veya site/checkout sorunu, kreatifi tek başına suçlama."
2766311733731448,IwaStore,Transforming a house,closed_30d,diagnose,"Funnel weak stage = checkout, creative_responsibility 0.00 (düşük) — kreatif değil site/checkout sorunu, $375'da kapatma kararı kreatif düzeltmez."
1588942188879607,IwaStore,WoodenWallArtCatalog,active,test_more,"$5 28g harcama (3×CPA eşiği $173'ın altında) — sample henüz yeterli değil, devam ettir izle."
1597946391493220,IwaStore,WoodenWallArtCatalog,active,keep,"$651 olgun + ROAS 4.47 (1.28× target) — hedef civarı stabil, dramatik tetik yok."
1420674099804622,IwaStore,Every beautiful,closed_30d,cut,"Closed: $554 + ROAS 2.19 (0.63× target) — olgun ve hedef altı, retro-cut onaylı."
811959778633363,IwaStore,New 2026 Collection,closed_30d,refresh,"Closed past peak (past_peak_unclear, fatigue=watch), $498 lifetime ROAS 2.96 (0.85× target) — concept iyiydi, fresh angle ile yeniden test."
966762982363817,IwaStore,decorista_93,closed_30d,diagnose,"Closed: ROAS 7.92 (2.26× target) + 21 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
744459891804259,IwaStore,mum2boys_style,closed_30d,cut,"Closed: $441 lifetime + ROAS 0.24 (0.07× target) — olgun kayıp, doğru kapatma."
970526038984760,IwaStore,Our hearts are,closed_30d,cut,"Closed: $364 lifetime + ROAS 0.00 (0.00× target) — olgun kayıp, doğru kapatma."
930886633134159,IwaStore,A prayer niche,closed_30d,diagnose,"Closed: ROAS 3.67 (1.05× target) + 9 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
1655577498670460,IwaStore,Since I hung,active,cut,"$323 28g (≥1.5× mature) + ROAS 0.87 (0.25× target) + 7g toparlanma yok — olgun kayıp, kes."
768721082956229,IwaStore,Joyful prep,closed_30d,cut,"Closed: $341 lifetime + ROAS 0.47 (0.13× target) — olgun kayıp, doğru kapatma."
