creative_id,business_name,name,my_label,my_reason
creative_bzfqye,IwaStore,WallArtCatalog,refresh,"Fatigue is watch at 31 days, which tells me the concept is getting tired even though CTR 2.16% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_gav4ek,IwaStore,WoodenWallArtCatalog,refresh,"Fatigue is fatigued at 31 days, which tells me the concept is getting tired even though CTR 1.93% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_11qthjh,IwaStore,Catalog New Collection,refresh,"Fatigue is fatigued at 31 days, which tells me the concept is getting tired even though CTR 2.31% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_kgfoui,IwaStore,A misbaha,scale,"ROAS 3.51 is ahead of the 3.5 target and CTR 3.26% clears my 2.5% scale bar. The hook has both engagement and buyer intent, so I would scale this concept."
creative_7o6ry1,IwaStore,Transforming a house,keep,"ROAS 9.52 is above the 3.5 target, but CTR 1.94% is below my scale bar. Keep it live while testing a sharper hook to earn more engagement."
creative_zri7ic,IwaStore,Every beautiful,keep,"ROAS 2.31 is not a scale call against the 3.5 target, but CTR 2.32% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_1qxpvdx,IwaStore,decorista_93,refresh,"Fatigue is watch at 31 days, which tells me the concept is getting tired even though CTR 1.44% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_tah2d0,IwaStore,New 2026 Collection,cut,"CTR 0.67% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_15m2a6d,IwaStore,Since I hung,refresh,"Fatigue is fatigued at 31 days, which tells me the concept is getting tired even though CTR 1.62% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_1cm23eg,IwaStore,julia_julia386,cut,"CTR 0.16% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_1fn7p9h,IwaStore,A prayer niche,keep,"ROAS 3.93 is above the 3.5 target, but CTR 1.78% is below my scale bar. Keep it live while testing a sharper hook to earn more engagement."
creative_nizzxl,IwaStore,لا للمحراب في البيوت!!,cut,"CTR 0.22% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_mvouqb,IwaStore,The heart finds,cut,"CTR 0.8% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_1nu7pbr,IwaStore,Our hearts are,cut,"CTR 0.17% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_1jkih46,IwaStore,nina_deko_germany,refresh,"Fatigue is watch at 31 days, which tells me the concept is getting tired even though CTR 3.45% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_lusk5,IwaStore,Cherish every,cut,"CTR 0.64% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_tzeupz,IwaStore,A stunning Islamic,cut,"ROAS 0.72 is materially under the 3.5 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_6yakbd,IwaStore,Set up my,cut,"After $97.6 in spend, ROAS is still 0 against a 3.5 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_oh3fxx,IwaStore,PrayerEssentialsCatalog,cut,"After $88.79 in spend, ROAS is still 0 against a 3.5 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_mkkyju,IwaStore,Glowing lanterns,scale,"ROAS 7.99 is ahead of the 3.5 target and CTR 2.58% clears my 2.5% scale bar, so the hook is still pulling real attention. Scale it, but brief fresh sibling cuts now so concept fatigue does not catch up."
creative_164v2ds,IwaStore,More than,cut,"After $58.32 in spend, ROAS is still 0 against a 3.5 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_1uqggii,IwaStore,It added meaning,cut,"After $46.82 in spend, ROAS is still 0 against a 3.5 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_1gkgji3,IwaStore,Iconic beauty,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1m3nv5p,IwaStore,A solid foundation,keep,"ROAS 3.06 is not a scale call against the 3.5 target, but CTR 1.09% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_ruy649,IwaStore,Decorating the,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_r14rly,IwaStore,modern.cave,cut,"CTR 0.97% is below 1%, so the audience is not leaning into the hook. Cut this execution and move the brief toward a fresher first impression."
creative_bxvoy6,IwaStore,mum2boys_style,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1x0u7yl,IwaStore,Beautiful gatherings,refresh,"Fatigue is fatigued at 31 days, which tells me the concept is getting tired even though CTR 1.2% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_rzsa59,IwaStore,Gift a sanctuary,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1bnj7cl,IwaStore,Timeless Crescent,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_z0iv9g,IwaStore,A journey toward,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_6ip33q,IwaStore,Loved styling,keep,"ROAS 34.38 is above the 3.5 target, but CTR 2.49% is below my scale bar. Keep it live while testing a sharper hook to earn more engagement."
creative_16vnta7,IwaStore,A soulful gift,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_kidoxv,IwaStore,It became the favorite,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_8jo0k8,IwaStore,Start with,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_v5fbmo,IwaStore,Joyful prep,diagnose,"Delivery or data is too thin after 31 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1emvy5x,TheSwaf,EMB - CatalogAd,cut,"ROAS 1.31 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_8qhjj,TheSwaf,EmB - Catalog Ad,cut,"ROAS 1.33 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_2dptrn,TheSwaf,Advantage+ catalog,scale,"ROAS 2.44 is ahead of the 2.2 target and CTR 3.73% clears my 2.5% scale bar. The hook has both engagement and buyer intent, so I would scale this concept."
creative_2chqoy,TheSwaf,wearthefearrevise,cut,"ROAS 0.95 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_23qk12,TheSwaf,Advantage+ catalog ad,refresh,"Fatigue is fatigued at 30 days, which tells me the concept is getting tired even though CTR 2.53% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_1d99qi7,TheSwaf,aura,keep,"ROAS 2.07 is not a scale call against the 2.2 target, but CTR 3.18% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_1ikfu77,TheSwaf,protection,keep,"ROAS 1.68 is not a scale call against the 2.2 target, but CTR 3.24% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_ylpchy,TheSwaf,aphrodite,refresh,"Fatigue is watch at 30 days, which tells me the concept is getting tired even though CTR 2.96% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_14uk7cw,TheSwaf,fatal,keep,"ROAS 1.67 is not a scale call against the 2.2 target, but CTR 3.15% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_hltcj,TheSwaf,depth,cut,"ROAS 0.63 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_uf55lo,TheSwaf,AllRings,cut,"ROAS 1.19 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_7det4q,TheSwaf,biterevise,scale,"ROAS 4.01 is ahead of the 2.2 target and CTR 2.89% clears my 2.5% scale bar, so the hook is still pulling real attention. Scale it, but brief fresh sibling cuts now so concept fatigue does not catch up."
creative_zgt8em,TheSwaf,restraintrevise,scale,"ROAS 4.14 is ahead of the 2.2 target and CTR 3.35% clears my 2.5% scale bar, so the hook is still pulling real attention. Scale it, but brief fresh sibling cuts now so concept fatigue does not catch up."
creative_1ckebyd,TheSwaf,EMB - AllRings,refresh,"Fatigue is watch at 30 days, which tells me the concept is getting tired even though CTR 2.68% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_8a8qqj,TheSwaf,ancientegypt,cut,"ROAS 0.64 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_1w229oq,TheSwaf,begintodeath,scale,"ROAS 2.26 is ahead of the 2.2 target and CTR 3.02% clears my 2.5% scale bar. The hook has both engagement and buyer intent, so I would scale this concept."
creative_5r9ggv,TheSwaf,angelNdevill,cut,"ROAS 1.1 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_1lk4izw,TheSwaf,death,refresh,"Fatigue is watch at 30 days, which tells me the concept is getting tired even though CTR 3.49% still shows some engagement. Keep the idea alive with a fresher hook, new opening frame, or sharper proof point."
creative_2jh4dm,TheSwaf,faith,cut,"ROAS 0.38 is materially under the 2.2 target after meaningful spend, so the concept has collapsed on buyer intent. Cut it instead of trying to rescue the same hook."
creative_ytzmrs,TheSwaf,watchthat,cut,"After $226.26 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_1c77me5,TheSwaf,risklooksbetter,cut,"After $186.57 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_j0f9os,TheSwaf,ReligiousNecklaceFlex,cut,"After $181.54 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_15qkuwr,TheSwaf,legacyrevise,keep,"ROAS 1.23 is not a scale call against the 2.2 target, but CTR 2.99% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_1cr1zc9,TheSwaf,EMB - TargeryenFlex,cut,"After $119.1 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_v6rxpx,TheSwaf,bestseller,keep,"ROAS 2.71 is above the 2.2 target, but CTR 2.46% is below my scale bar. Keep it live while testing a sharper hook to earn more engagement."
creative_1qql2ue,TheSwaf,TargeryenFlex,keep,"ROAS 1.95 is not a scale call against the 2.2 target, but CTR 2.23% and purchase signal show the creative still has life. Keep it stable while the next hook is prepared."
creative_14mo3mu,TheSwaf,ring,scale,"ROAS 2.61 is ahead of the 2.2 target and CTR 2.5% clears my 2.5% scale bar, so the hook is still pulling real attention. Scale it, but brief fresh sibling cuts now so concept fatigue does not catch up."
creative_1uqd6gf,TheSwaf,evolution,cut,"After $93.66 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_yqjwhk,TheSwaf,MedusaFlex,cut,"After $70.89 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_1vyej00,TheSwaf,EMB - ReligiousNecklace,keep,"ROAS 3.28 is above the 2.2 target, but CTR 2.14% is below my scale bar. Keep it live while testing a sharper hook to earn more engagement."
creative_426qx5,TheSwaf,EMB - Mix,cut,"After $57.46 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_1drk18s,TheSwaf,bestsellerringsgothic,scale,"ROAS 2.7 is ahead of the 2.2 target and CTR 2.66% clears my 2.5% scale bar. The hook has both engagement and buyer intent, so I would scale this concept."
creative_jc56ov,TheSwaf,Tastemythrevise,cut,"After $47.95 in spend, ROAS is still 0 against a 2.2 target. The creative may be getting some attention, but the concept is not turning engagement into buyer intent, so I would cut it."
creative_nheqjy,TheSwaf,Mix,scale,"ROAS 4 is ahead of the 2.2 target and CTR 4.67% clears my 2.5% scale bar. The hook has both engagement and buyer intent, so I would scale this concept."
creative_1ykaj7n,TheSwaf,softness,diagnose,"Delivery or data is too thin after 30 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1ff8m04,TheSwaf,bestsellersnecklace,diagnose,"Delivery or data is too thin after 30 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
creative_1b3pukg,TheSwaf,whispersfromthedevil,diagnose,"Delivery or data is too thin after 30 days to make a fair creative read. Diagnose the delivery/data issue first, then judge whether the hook needs a fresh version."
