business_name,creative_id,name,spend,purchases,roas,fatigue_status,target_roas,MY_label,MY_reason,v1_primary_action,v1_primary_mapped,v1_lifecycle_state,v1_lifecycle_mapped,v1_legacy_action,v1_legacy_mapped,v2_primary_decision,v2_mapped,v21_buyer_action,v21_mapped,meta_campaign_action,meta_mapped,disagreement_count
IwaStore,creative_gav4ek,WoodenWallArtCatalog,1651.36,57,5.3,fatigued,3.5,scale,ROAS 5.30 = 151% of target 3.5 with 57 buys — scale,refresh_replace,refresh,fatigued_winner,refresh,pause,cut,Diagnose,diagnose,refresh,refresh,monitor_only,keep,6
TheSwaf,creative_1emvy5x,EMB - CatalogAd,12338.65,84,1.31,none,1.71,keep,"ROAS 1.31 below target (77%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_8qhjj,EmB - Catalog Ad,7422.19,53,1.33,none,1.71,keep,"ROAS 1.33 below target (78%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_bzfqye,WallArtCatalog,2310.73,46,3.19,watch,3.5,keep,"ROAS 3.19 below target (91%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_2dptrn,Advantage+ catalog,2122.32,21,2.44,none,1.71,scale,ROAS 2.44 = 143% of target 1.71 with 21 buys — scale,hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_2chqoy,wearthefearrevise,1950.29,9,0.95,none,1.71,cut,"ROAS 0.95 = 56% of target after $1950 — clear loser at scale, cut",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_1ikfu77,protection,1361.73,9,1.68,none,1.71,keep,"ROAS 1.68 below target (98%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_ylpchy,aphrodite,1193.43,10,1.63,watch,1.71,keep,"ROAS 1.63 below target (95%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_14uk7cw,fatal,944.37,7,1.67,none,1.71,keep,"ROAS 1.67 below target (98%) but in working zone — monitor, no aggressive move",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_kgfoui,A misbaha,838.24,19,3.51,none,3.5,keep,"ROAS 3.51 at/above target 3.5 — stable, let it ride",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_7o6ry1,Transforming a house,830.76,25,9.52,none,3.5,scale,ROAS 9.52 = 272% of target 3.5 with 25 buys — scale,hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_hltcj,depth,587.18,2,0.63,none,1.71,cut,ROAS 0.63 = 37% of target — sustained loser,keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_7det4q,biterevise,525.23,8,4.01,watch,1.71,scale,ROAS 4.01 = 235% of target with 8 buys despite $525 — early scale candidate,hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_1qxpvdx,decorista_93,434.36,19,7.85,watch,3.5,scale,ROAS 7.85 = 224% of target with 19 buys despite $434 — early scale candidate,hold_no_touch,keep,stable_winner,keep,watch,keep,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_2jh4dm,faith,324.83,1,0.38,none,1.71,test_more,"Thin data (spend=$325, purchases=1, ROAS 0.38) — accumulate",block_deploy,diagnose,blocked,diagnose,kill,cut,Diagnose,diagnose,diagnose_data,diagnose,,,5
IwaStore,creative_1cm23eg,julia_julia386,279.67,0,0,none,3.5,cut,"0 purchases on $280 — sustained zero-conv burn, kill",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,test_more,test_more,,,5
IwaStore,creative_1fn7p9h,A prayer niche,274.95,7,3.93,none,3.5,keep,"ROAS 3.93 at/above target 3.5 — stable, let it ride",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
TheSwaf,creative_ytzmrs,watchthat,226.26,0,0,none,1.71,cut,"0 purchases on $226 — sustained zero-conv burn, kill",keep_in_test,test_more,validating,test_more,test_more,test_more,Diagnose,diagnose,diagnose_data,diagnose,,,5
