business,creative_id,creative_name,bucket,spend_lifetime,spend_28d,purchases_28d,roas_28d,target_roas,v3,me,marcus,lin,aria,agreement_count,unique_labels,consensus_label,v3_reason,me_reason
TheSwaf,1370381998117941,Advantage+ catalog ad,closed_30d,31942.55,145.44,1.00,1.2159,2.20,test_more,refresh,refresh,keep,refresh,3.00,3.00,refresh,"Thin data (28d spend $145, 1 purchases, age 212d) — let the creative accumulate signal.","Closed past peak (insufficient_history, fatigue=watch), $31943 lifetime ROAS 1.92 (0.87× target) — concept iyiydi, fresh angle ile yeniden test."
TheSwaf,1347969233807910,EMB - CatalogAd,active,10175.42,9963.40,73.00,1.3732,2.20,keep,cut,cut,cut,cut,4.00,2.00,cut,"[demote candidate] ROAS 1.37 (28d) = 62% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $9,963 mature spend — consider demote to test placement or refresh creative concept.","$9963 olgun + ROAS 1.37 (0.62× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
TheSwaf,1521071976374724,EmB - Catalog Ad,active,9024.89,8824.21,61.00,1.3108,2.20,keep,cut,cut,cut,cut,4.00,2.00,cut,"[demote candidate] ROAS 1.31 (28d) = 60% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $8,824 mature spend — consider demote to test placement or refresh creative concept.","$8824 28g (≥1.5× mature) + ROAS 1.31 (0.60× target) + 7g toparlanma yok — olgun kayıp, kes."
TheSwaf,736272486128828,AllRings,closed_30d,2589.10,38.79,0.00,0.0000,2.20,test_more,cut,cut,keep,keep,2.00,3.00,no_consensus,"Thin data (28d spend $39, 0 purchases, age 216d) — let the creative accumulate signal.","Closed: $2589 + ROAS 1.62 (0.74× target) — olgun ve hedef altı, retro-cut onaylı."
TheSwaf,1851364679152359,AllRings,closed_30d,2319.48,0.00,0.00,,2.20,test_more,diagnose,keep,keep,keep,3.00,3.00,keep,"Thin data (28d spend $0, 0 purchases, age 207d) — let the creative accumulate signal.","Closed: ROAS 2.10 (0.95× hedefin altında ama yakın), $2319 — kapanma kararı tartışmalı, daha çok süre verilebilirdi."
TheSwaf,2804457086560981,wearthefearrevise,active,2293.22,2240.92,10.00,0.8885,2.20,cut,cut,cut,test_more,cut,4.00,2.00,cut,"ROAS 0.89 (28d) = 40% of target after $2,241 spend (28d) — clear loser at scale.","$2241 28g (≥1.5× mature) + ROAS 0.89 (0.40× target) + 7g toparlanma yok — olgun kayıp, kes."
IwaStore,2240450456794543,Catalog New Collection,active,1896.13,1841.60,44.00,3.4288,3.50,keep,keep,refresh,keep,scale,3.00,3.00,keep,"[at target] ROAS 3.43 (28d) at/around target 3.50 (98%) — stable, let it run; fatigue watch — monitor for refresh signal.","$1842 olgun + ROAS 3.43 (0.98× target) — hedef civarı stabil, dramatik tetik yok."
IwaStore,2729900394016654,WallArtCatalog,closed_30d,1805.46,864.60,21.00,3.9251,3.50,keep,diagnose,refresh,scale,diagnose,2.00,4.00,no_consensus,"[at target] ROAS 3.93 (28d) at/around target 3.50 (112%) — stable, let it run; fatigue watch — monitor for refresh signal; lifecycle: past_peak_unclear — operator review recommended","Closed: ROAS 4.55 (1.30× target) + 49 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
TheSwaf,1960236391551172,aura,active,1788.28,1763.43,17.00,1.9209,2.20,keep,keep,refresh,keep,refresh,3.00,2.00,keep,[weak target] ROAS 1.92 (28d) just above breakeven (87% of target) — keep observing; consider tightening if recent 7d weakens.,"$1763 olgun + ROAS 1.92 (0.87× target) — hedef civarı stabil, dramatik tetik yok."
TheSwaf,967749279083373,protection,active,1620.52,1596.12,14.00,2.0211,2.20,keep,keep,refresh,keep,refresh,3.00,2.00,keep,[weak target] ROAS 2.02 (28d) just above breakeven (92% of target) — keep observing; consider tightening if recent 7d weakens.,"$1596 olgun + ROAS 2.02 (0.92× target) — hedef civarı stabil, dramatik tetik yok."
TheSwaf,951995590658338,aphrodite,active,1471.75,1439.01,13.00,1.7875,2.20,keep,keep,refresh,keep,scale,3.00,3.00,keep,"[weak zone] ROAS 1.79 (28d) = 81% of target — below target but in working zone, no aggressive action; revisit if ROAS drifts further.","$1439 olgun + ROAS 1.79 (0.81× target) — hedef civarı stabil, dramatik tetik yok."
TheSwaf,1561834608247242,fatal,active,1215.76,1179.54,7.00,1.3368,2.20,keep,cut,cut,test_more,cut,3.00,3.00,cut,"[demote candidate] ROAS 1.34 (28d) = 61% of target — above account bottom quartile (52%) but below breakeven (1.71 = 78% of target) at $1,180 mature spend — consider demote to test placement or refresh creative concept.","$1180 olgun + ROAS 1.34 (0.61× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
IwaStore,1976762379605003,WallArtCatalog,active,1046.67,1027.66,15.00,2.5965,3.50,keep,cut,cut,keep,refresh,2.00,3.00,no_consensus,"[demote candidate] ROAS 2.60 (28d) = 74% of target — above account bottom quartile (58%) but below breakeven (2.70 = 77% of target) at $1,028 mature spend — consider demote to test placement or refresh creative concept.","$1028 olgun + ROAS 2.60 (0.74× target hedefin altında) + recovery yok — kes, daha agresif placement'lara para git."
IwaStore,917280764555370,WoodenWallArtCatalog,closed_30d,994.48,488.17,11.00,3.0717,3.50,keep,diagnose,scale,keep,diagnose,2.00,3.00,no_consensus,[weak target] ROAS 3.07 (28d) just above breakeven (88% of target) — keep observing; consider tightening if recent 7d weakens; fatigue watch — monitor for refresh signal.,"Closed: ROAS 6.48 (1.85× target) + 39 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
IwaStore,1610875453601663,A misbaha,closed_30d,958.06,643.83,14.00,3.3034,3.50,keep,diagnose,refresh,keep,diagnose,2.00,3.00,no_consensus,[weak target] ROAS 3.30 (28d) just above breakeven (94% of target) — keep observing; consider tightening if recent 7d weakens; fatigue watch — monitor for refresh signal.,"Closed: ROAS 4.05 (1.16× target) + 22 sipariş — kapatma sebebi veriden anlaşılmıyor, manuel review."
IwaStore,712308491893470,julia_julia386,closed_30d,837.26,279.60,0.00,0.0000,3.50,out_of_scope,diagnose,cut,test_more,cut,2.00,3.00,cut,Engine currently supports OUTCOME_SALES only; this creative is OUTCOME_ENGAGEMENT.,"$280 28g harcama + 167.21% CTR ama 0 sipariş — clicks geliyor ama dönüş yok. Tracking veya site/checkout sorunu, kreatifi tek başına suçlama."
IwaStore,2766311733731448,Transforming a house,closed_30d,803.81,375.05,11.00,14.5268,3.50,keep,diagnose,scale,keep,diagnose,2.00,3.00,no_consensus,[near scale] ROAS 14.53 (28d) above target (415%) — recent 7d ROAS missing; observe.,"Funnel weak stage = checkout, creative_responsibility 0.00 (düşük) — kreatif değil site/checkout sorunu, $375'da kapatma kararı kreatif düzeltmez."
