creative_id,business_name,name,my_label,my_reason
creative_bzfqye,IwaStore,WallArtCatalog,keep,"ROAS 3.19 is 0.91x the 3.50 target with 46 purchases and $2,311 spend, so the sample is mature but not a scale or cut case. I would keep it under observation rather than overreact to a point-in-time read."
creative_gav4ek,IwaStore,WoodenWallArtCatalog,scale,"ROAS 5.30 is 1.51x the 3.50 target with 57 purchases and $1,651 spend, clearing my scale gates. I would still avoid a refresh call from fatigue alone without trend evidence."
creative_11qthjh,IwaStore,Catalog New Collection,keep,"ROAS 3.79 is 1.08x the 3.50 target with 36 purchases and $1,553 spend, so the sample is mature but not a scale or cut case. The fatigue flag alone is not enough for refresh without weakening trend evidence."
creative_kgfoui,IwaStore,A misbaha,keep,"ROAS 3.51 is above the 3.50 target with 19 purchases, but it misses the 20-purchase and $1,000 spend scale gate. Keep it running while the estimate matures."
creative_7o6ry1,IwaStore,Transforming a house,keep,"ROAS 9.52 is above the 3.50 target with 25 purchases, but it misses the $1,000 spend scale gate. Keep it running while the estimate matures."
creative_zri7ic,IwaStore,Every beautiful,test_more,"8 purchases is still a single-digit, high-variance read; ROAS 2.31 versus target 3.50 should not be treated as stable. Test more before making a terminal call."
creative_1qxpvdx,IwaStore,decorista_93,keep,"ROAS 7.85 is above the 3.50 target with 19 purchases, but it misses the 20-purchase and $1,000 spend scale gate. Keep it running while the estimate matures."
creative_tah2d0,IwaStore,New 2026 Collection,test_more,"ROAS 3.27 is 0.93x the 3.50 target with 13 purchases, but the evidence has not matured into my scale or cut criteria. Test more to reduce variance before changing status."
creative_15m2a6d,IwaStore,Since I hung,test_more,"6 purchases is still a single-digit, high-variance read; ROAS 2.30 versus target 3.50 should not be treated as stable. Test more before making a terminal call."
creative_1cm23eg,IwaStore,julia_julia386,test_more,Only 0 purchases on $280 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1fn7p9h,IwaStore,A prayer niche,test_more,"7 purchases is still a single-digit, high-variance read; ROAS 3.93 versus target 3.50 should not be treated as stable. Test more before making a terminal call."
creative_nizzxl,IwaStore,لا للمحراب في البيوت!!,test_more,Only 0 purchases on $168 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_mvouqb,IwaStore,The heart finds,test_more,Only 2 purchases on $145 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1nu7pbr,IwaStore,Our hearts are,test_more,Only 0 purchases on $140 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1jkih46,IwaStore,nina_deko_germany,test_more,Only 3 purchases on $129 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_lusk5,IwaStore,Cherish every,test_more,Only 3 purchases on $111 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_tzeupz,IwaStore,A stunning Islamic,test_more,Only 1 purchases on $101 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_6yakbd,IwaStore,Set up my,test_more,Only 0 purchases on $98 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_oh3fxx,IwaStore,PrayerEssentialsCatalog,test_more,Only 0 purchases on $89 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_mkkyju,IwaStore,Glowing lanterns,test_more,Only 1 purchases on $64 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_164v2ds,IwaStore,More than,test_more,Only 0 purchases on $58 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1uqggii,IwaStore,It added meaning,test_more,Only 0 purchases on $47 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1gkgji3,IwaStore,Iconic beauty,test_more,Only 0 purchases on $39 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
creative_1m3nv5p,IwaStore,A solid foundation,test_more,Only 1 purchases on $34 spend; 5 purchases or fewer is statistically weak and high variance. Test more before making a scale or cut judgment against the 3.50 target.
