creative_id,business,creative_name,bucket,my_label,my_reason
1370381998117941,TheSwaf,Advantage+ catalog ad,closed_30d,refresh,"ROAS 1.92 is 0.87x of the 2.20 target on $31,943 lifetime spend with 410 purchases; fatigue is watch and 28d ROAS is 1.22, so refresh before it decays further."
1347969233807910,TheSwaf,EMB - CatalogAd,active,cut,"ROAS 1.37 is 0.62x of the 2.20 target on $9,963 28d spend with 73 purchases; 7d ROAS is 1.40; clear loser, cut."
1521071976374724,TheSwaf,EmB - Catalog Ad,active,cut,"ROAS 1.31 is 0.60x of the 2.20 target on $8,824 28d spend with 61 purchases; 7d ROAS is 0.92; clear loser, cut."
736272486128828,TheSwaf,AllRings,closed_30d,cut,"Closed correctly: ROAS 1.62 is 0.74x of the 2.20 target on $2,589 lifetime spend with 28 purchases; clear loser, cut."
1851364679152359,TheSwaf,AllRings,closed_30d,keep,"ROAS 2.10 is 0.95x of the 2.20 target on $2,319 lifetime spend with 31 purchases; no clean move yet, keep."
2804457086560981,TheSwaf,wearthefearrevise,active,cut,"ROAS 0.89 is 0.40x of the 2.20 target on $2,241 28d spend with 10 purchases; 7d ROAS is 0.61; clear loser, cut."
1960236391551172,TheSwaf,aura,active,refresh,"ROAS is 1.92 now versus peak 6.90 23 days ago and 7d ROAS 1.40, with fatigue none; refresh before the winner decays."
967749279083373,TheSwaf,protection,active,refresh,"ROAS is 2.02 now versus peak 7.24 16 days ago and 7d ROAS 1.77, with fatigue none; refresh before the winner decays."
951995590658338,TheSwaf,aphrodite,active,refresh,"ROAS is 1.79 now versus peak 42.95 25 days ago and 7d ROAS 2.32, with fatigue none; refresh before the winner decays."
1561834608247242,TheSwaf,fatal,active,cut,"ROAS 1.34 is 0.61x of the 2.20 target on $1,180 28d spend with 7 purchases; 7d ROAS is 0.56; clear loser, cut."
3357963294352238,TheSwaf,ReligiousNecklaceFlex,closed_30d,cut,"Closed correctly: ROAS 0.48 is 0.22x of the 2.20 target on $767 lifetime spend with 2 purchases; clear loser, cut."
841424642307232,TheSwaf,EMB - CatalogAd,active,cut,"ROAS 0.58 is 0.26x of the 2.20 target on $620 28d spend with 2 purchases; 7d ROAS is 0.58; clear loser, cut."
941030035300398,TheSwaf,biterevise,active,scale,"ROAS 3.55 is 1.62x of the 2.20 target on $593 28d spend with 8 purchases; 7d ROAS is 0.00 on $85.91; clear upside, scale."
2731945777166108,TheSwaf,depth,closed_30d,cut,"Closed correctly: ROAS 0.63 is 0.29x of the 2.20 target on $587 lifetime spend with 2 purchases; clear loser, cut."
1250889117025589,TheSwaf,restraintrevise,active,scale,"ROAS 4.18 is 1.90x of the 2.20 target on $504 28d spend with 7 purchases; 7d ROAS is 3.90 on $58.92; clear upside, scale."
1344068397554957,TheSwaf,EMB - AllRings,active,refresh,"ROAS is 1.45 now versus peak 4.26 13 days ago and 7d ROAS 1.83, with fatigue none; refresh before the winner decays."
930269923096296,TheSwaf,begintodeath,active,refresh,"ROAS is 2.01 now versus peak 15.54 16 days ago and 7d ROAS 0.00, with fatigue none; refresh before the winner decays."
