creative_id,business_name,name,my_label,my_reason
creative_bzfqye,IwaStore,WallArtCatalog,keep,"46 purchases gives a real read, but 3.19 ROAS misses the 3.5 target. Keep it capped; no scale until it proves profitable."
creative_gav4ek,IwaStore,WoodenWallArtCatalog,refresh,Fatigue is flagged with 57 purchases at 5.3 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_11qthjh,IwaStore,Catalog New Collection,refresh,Fatigue is flagged with 36 purchases at 3.79 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_kgfoui,IwaStore,A misbaha,scale,"19 purchases and 3.51 ROAS beats the 3.5 target. Scale it, but stay ready to pull back if efficiency breaks."
creative_7o6ry1,IwaStore,Transforming a house,scale,"25 purchases and 9.52 ROAS beats the 3.5 target. Scale it, but stay ready to pull back if efficiency breaks."
creative_zri7ic,IwaStore,Every beautiful,keep,"8 purchases gives a real read, but 2.31 ROAS misses the 3.5 target. Keep it capped; no scale until it proves profitable."
creative_1qxpvdx,IwaStore,decorista_93,scale,"19 purchases and 7.85 ROAS beats the 3.5 target. Scale it, but stay ready to pull back if efficiency breaks."
creative_tah2d0,IwaStore,New 2026 Collection,keep,"13 purchases gives a real read, but 3.27 ROAS misses the 3.5 target. Keep it capped; no scale until it proves profitable."
creative_15m2a6d,IwaStore,Since I hung,refresh,Fatigue is flagged with 6 purchases at 2.3 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_1cm23eg,IwaStore,julia_julia386,cut,$279.67 spent with zero purchases is enough evidence. Cut it and move the budget to something that can close.
creative_1fn7p9h,IwaStore,A prayer niche,scale,"7 purchases and 3.93 ROAS beats the 3.5 target. Scale it, but stay ready to pull back if efficiency breaks."
creative_nizzxl,IwaStore,لا للمحراب في البيوت!!,keep,"Zero purchases on $168.35 spend is ugly, but it has not hit my $200 kill line. Keep it on a tight leash; no extra budget."
creative_mvouqb,IwaStore,The heart finds,refresh,Fatigue is flagged with 2 purchases at 2.11 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_1nu7pbr,IwaStore,Our hearts are,test_more,"Only $140.03 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_1jkih46,IwaStore,nina_deko_germany,keep,"The read is mediocre: 3 purchases, 3 ROAS versus the 3.5 target. Keep it capped and demand better proof."
creative_lusk5,IwaStore,Cherish every,refresh,Fatigue is flagged with 3 purchases at 4.9 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_tzeupz,IwaStore,A stunning Islamic,test_more,"Only $100.83 spent and 1 purchase; the read is too thin. Test more on a leash, no real budget yet."
creative_6yakbd,IwaStore,Set up my,test_more,"Only $97.60 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_oh3fxx,IwaStore,PrayerEssentialsCatalog,refresh,Fatigue is flagged with 0 purchases at 0 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_mkkyju,IwaStore,Glowing lanterns,refresh,Fatigue is flagged with 1 purchase at 7.99 ROAS. Refresh the angle before you spend harder into a tired asset.
creative_164v2ds,IwaStore,More than,test_more,"Only $58.32 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_1uqggii,IwaStore,It added meaning,test_more,"Only $46.82 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_1gkgji3,IwaStore,Iconic beauty,test_more,"Only $39.07 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_1m3nv5p,IwaStore,A solid foundation,test_more,"Only $33.80 spent and 1 purchase; the read is too thin. Test more on a leash, no real budget yet."
creative_ruy649,IwaStore,Decorating the,test_more,"Only $30.45 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_r14rly,IwaStore,modern.cave,test_more,"Only $27.32 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
creative_bxvoy6,IwaStore,mum2boys_style,test_more,"Only $26.46 spent and 0 purchases; the read is too thin. Test more on a leash, no real budget yet."
